"REF_DATE","GEO","DGUID","Age at time of death","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-09-28","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2019-10-05","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2019-10-12","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2019-10-19","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2019-10-26","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2019-11-02","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2019-11-09","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","65","","","","0"
"2019-11-16","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2019-11-23","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2019-11-30","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2019-12-07","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","35","","","","0"
"2019-12-14","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2019-12-21","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2019-12-28","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-01-04","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2020-01-11","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-01-18","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","65","","","","0"
"2020-01-25","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-02-01","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2020-02-08","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2020-02-15","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-02-22","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-02-29","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","65","","","","0"
"2020-03-07","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-03-14","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2020-03-21","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-03-28","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2020-04-04","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-04-11","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-04-18","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2020-04-25","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","65","","","","0"
"2020-05-02","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2020-05-09","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-05-16","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-05-23","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2020-05-30","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","35","","","","0"
"2020-06-06","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-06-13","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","35","","","","0"
"2020-06-20","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","35","","","","0"
"2020-06-27","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2020-07-04","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-07-11","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2020-07-18","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-07-25","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-08-01","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2020-08-08","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-08-15","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-08-22","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-08-29","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-09-05","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-09-12","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2020-09-19","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2020-09-26","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-10-03","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-10-10","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2020-10-17","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2020-10-24","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-10-31","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-11-07","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2020-11-14","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-11-21","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2020-11-28","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2020-12-05","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2020-12-12","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-12-19","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2020-12-26","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-01-02","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2021-01-09","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2021-01-16","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-01-23","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2021-01-30","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","65","","","","0"
"2021-02-06","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","65","","","","0"
"2021-02-13","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-02-20","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2021-02-27","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2021-03-06","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2021-03-13","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2021-03-20","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-03-27","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2021-04-03","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-04-10","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-04-17","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2021-04-24","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2021-05-01","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2021-05-08","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-05-15","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2021-05-22","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2021-05-29","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2021-06-05","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2021-06-12","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","60","","","","0"
"2021-06-19","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2021-06-26","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2021-07-03","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","55","","","","0"
"2021-07-10","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2021-07-17","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-07-24","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-07-31","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","70","","","","0"
"2021-08-07","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","45","","","","0"
"2021-08-14","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-08-21","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","50","","","","0"
"2021-08-28","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","40","","","","0"
"2021-09-04","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","65","","","","0"
"2021-09-11","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","","..","","","0"
"2021-09-18","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","","..","","","0"
"2021-09-25","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","","..","","","0"
"2021-10-02","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","","..","","","0"
"2021-10-09","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","","..","","","0"
"2021-10-16","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","","..","","","0"
"2021-10-23","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","","..","","","0"
"2021-10-30","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","","..","","","0"
"2021-11-06","New Brunswick, place of occurrence","2016A000213","Age at time of death, 85 years and over","Both sexes","Number of deaths","Number","223","units","0","v1161320393","5.5.1.1","","..","","","0"
"2015-03-14","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-03-21","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-03-28","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-04-04","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-04-11","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-04-18","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-04-25","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","35","","","","0"
"2015-05-02","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-05-09","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-05-16","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","30","","","","0"
"2015-05-23","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","50","","","","0"
"2015-05-30","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-06-06","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-06-13","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-06-20","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-06-27","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-07-04","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-07-11","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","50","","","","0"
"2015-07-18","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","50","","","","0"
"2015-07-25","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-08-01","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","55","","","","0"
"2015-08-08","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-08-15","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-08-22","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-08-29","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-09-05","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","60","","","","0"
"2015-09-12","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-09-19","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","50","","","","0"
"2015-09-26","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","55","","","","0"
"2015-10-03","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-10-10","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","50","","","","0"
"2015-10-17","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
"2015-10-24","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","35","","","","0"
"2015-10-31","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","35","","","","0"
"2015-11-07","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","35","","","","0"
"2015-11-14","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","50","","","","0"
"2015-11-21","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2015-11-28","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","55","","","","0"
"2015-12-05","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","35","","","","0"
"2015-12-12","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","50","","","","0"
"2015-12-19","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","50","","","","0"
"2015-12-26","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","35","","","","0"
"2016-01-02","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2016-01-09","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2016-01-16","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","30","","","","0"
"2016-01-23","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","35","","","","0"
"2016-01-30","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2016-02-06","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2016-02-13","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","40","","","","0"
"2016-02-20","Quebec, place of occurrence","2016A000224","Age at time of death, 0 to 44 years","Both sexes","Number of deaths","Number","223","units","0","v1161320399","6.2.1.1","45","","","","0"
